"-2688865246297539111","negative","Coronaviruses are species in the genera of virus belonging to the subfamily Coronavirinae in the family Coronaviridae. Coronaviruses are enveloped viruses ...",""
"-7005939238291162845","negative","CDC Coronavirus: Coronaviruses are common throughout the world. They can infect people and animals. Five different coronaviruses can infect people and ...",""
"-1248292889989962351","negative","... What are the symptoms of infection with the coronavirus, how contagious is it, and where has it come from?","Jul 4, 2013"
"-7463586705469781746","negative","... GENEVA (Reuters) - International health experts began urgent talks on the Middle East coronavirus (MERS) on Tuesday amid concerns about ...","Jul 9, 2013"
"-5848891267384560422","negative","Coronaviruses are a large family of viruses that includes viruses that may cause a range of illnesses in humans, from the common cold to SARS. Viruses of this ...",""
"-7362329140271013442","positive","... Image credit: Andrew Lynch, ABC News Virus Casts Shadow on Ramadan July 9 Katie Moisse (@katiemoisse) Another person has been ...","May 30, 2013"
"4126219580585303081","negative","There are many types of corona viruses - some affecting humans and some affecting animals. Learn more about corona virus in this article.",""
"-6045906381028445288","positive","... Health authorities in the UAE have announced that an 82-year-old man has been diagnosed with the MERS coronavirus infection, the first case ...","Jul 12, 2013"
"-805381760174068960","positive","... The new coronavirus that has killed 42 people since September, most of them in Saudi Arabia, is less transmissible than the related SARS virus ...","Jul 5, 2013"
"1903008448226846046","negative","The deadly coronavirus was first discovered last September, when a Qatari man traveled to London to receive medical attention for a mysterious illness. It raised ...",""
