"RT @TheLancet: Fullest clinical report of Saudi MERS cases to date points to important differences with SARS http://t.co/YJDqOKhVdP","positive"
"8 dogs sickened in flu outbreak at Farming pet store","positive"
"Five People Infected with West Nile Virus, Says L.A. County http://t.co/397lGcQHeQ","positive"
"why don't time have wings? I want it to flu :'(","negative"
"BYUN DID YOU GET SICK _ÑÓ yesssseu down with flu :-( http://t.co/6ENtRoiIwV","negative"
"Mosquitoes Infected with West Nile Virus Found in Levittownë_Area http://t.co/uRlBTPoUeP","positive"
"2 rolls of tissue paper have been wasted. Flu, you're such a pain in my nose, go away please. *sneeze*","negative"
"Why MERS is Not the New SARS: The new virus that causes Middle East respiratory syndrome (MERS) has been compa... http://t.co/0pJTzP2JSV","negative"
"RT @elzhi_fan: @TheTherapyBook @trutherbot: Untested vaccines causing new wave of polio-like paralysis across India: http://t.co/3f7IYh0yIe","positive"
"@yojebajeba ur fresh from dengue wuht is wrong with u","negative"
"@StylinMilan is that where the bird flu came from","negative"
"RT @freekibble: The West Nile Virus is dangerous to humans. Can cats get infected with the virus? Answer &amp; help feed homeless cats! http://_Ñ_","negative"
"@av0nsful @suprabeanie wtf is with ur new obsession on ducks do u have bird flu or some shit shut up","negative"
"wowww flu tablets with caffeine + tea.... Buzzinnggggg!!","negative"
"RT @lapdancinOnbieb: @av0nsful @suprabeanie wtf is with ur new obsession on ducks do u have bird flu or some shit shut up","negative"
"@Yaengah nxa now that u finished Ur SARS money u want to come with R50","negative"
"Unusually potent dengue outbreak has killed 26 in Central America - Inside Costa Rica: Unusually potent dengue... http://t.co/K72kSt3Q9d","positive"
"Dear autocorrect: please refrain from changing morning to meningitis when I\'m trying to tell my mom good morning...","negative"
"SARS has reduced me but m still in good mood","negative"
"Commemorate World Hepatitis Day with an informative session followed by Q &amp; A. Saturday July 27, 2013 at AKU auditorium from 1100:am-12: ...","negative"
"ëâMRI May Spot Meningitis from Tainted Steroids http://t.co/4dbm0l3EN6","negative"
"ëâColorado frozen berry hepatitis A count up to 22 cases, FDA now testing food plant http://t.co/VnuU2up5zu","positive"
"Think i just caught a flu from night swimming...damn cold!","negative"
"98 million Americans were given polio vaccine contaminated with cancer-causing virus, admits CDC http://t.co/crRFWmHlfb via @HealthRanger","negative"
"Mosquitoes Infected with West Nile Virus Found in Levittown Area http://t.co/oRxjdN8hjK","positive"
"Storen has flu like symptoms. Make your jokes from here.","negative"
"@AamAwam dicussing why polio compaign not being successful @DayShallDawn","negative"
"RT @gateshealth: #endpolio MT @gatesfoundation The  inspiring story of polio eradication -- 5 reasons why ending polio is within reach http_Ñ_","negative"
"Yoh this flu is coming with full force the headache that i have is not good .. Afternoon people","negative"
"I like to imagine managers have a dartboard of illnesses.Oh you\'ve been sucking recently, you\'re out today with...*throws dart*...the flu!","negative"
"RT @TokinKindOfMom: Measles, Mumps, whooping cough...those things were basically wiped out until people stopped vacinating.","negative"
